Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG2261	CstF-50	K14406	CG2261 gene product from transcript CG2261-RA
Dmel_CR33400	5SrRNA:CR33400	K01981	5S ribosomal RNA
Dmel_CG10594	spo	K14939	spook 
Dmel_CG10593	Acer	K01283	Angiotensin-converting enzyme-related 
Dmel_CG11427	rb	K12397	ruby
Dmel_CG10711	Vps36	K12190	Vacuolar protein sorting 36
Dmel_CG5546	MED19	K15137	Mediator complex subunit 19
Dmel_CG5547	Pect	K00967	Phosphoethanolamine cytidylyltransferase 
Dmel_CG5232	Sas	K05304	Sialic acid phosphate synthase 
6622	Pkc53E	K02677	Protein C kinase 53E 
6703	CASK	K06103	CASK ortholog 
Dmel_CG5540	Or98a	K08471	Odorant receptor 98a
33842	His3:CG33842	K11253	CG33842 gene product from transcript CG33842-RA
Dmel_CG10206	nop5	K14565	CG10206 gene product from transcript CG10206-RA
Dmel_CG10755	Cyp4ae1	K15001	Cytochrome P450-4ae1 
Dmel_CG10756	Taf13	K03127	TBP-associated factor 13
Dmel_CG10757	mRpS18B	K16174	mitochondrial ribosomal protein S18B
Dmel_CG10203	x16	K12896	CG10203 gene product from transcript CG10203-RB
Dmel_CG10753	SmD1	K11087	Small ribonucleoprotein particle protein SmD1
Dmel_CG11335	lox	K00277	lysyl oxidase-like 
Dmel_CG18023	Eip78C	K08701	Ecdysone-induced protein 78C
Dmel_CG5784	Mapmodulin	K18646	CG5784 gene product from transcript CG5784-RB
Dmel_CG10759	Or7a	K08471	Odorant receptor 7a
Dmel_CG5786	ppan	K14859	peter pan
Dmel_CG40129	Gprk1	K00910	G protein-coupled receptor kinase 1 
Dmel_CG11621	Pi3K68D	K00923	Phosphotidylinositol 3 kinase 68D 
3972	Cyp4g1	K15001	Cytochrome P450-4g1 
Dmel_CG1830	PhKgamma	K00871	Phosphorylase kinase gamma 
3977	Ctr1A	K14686	Copper transporter 1A
Dmel_CG18412	ph-p	K11456	polyhomeotic proximal
Dmel_CG10954	Arpc2	K05758	Actin-related protein 2/3 complex, subunit 2
Dmel_CG12530	Cdc42	K04393	CG12530 gene product from transcript CG12530-RC
Dmel_CG31613	His3:CG31613	K11253	CG31613 gene product from transcript CG31613-RA
Dmel_CG34099	Mkp	K04459	MAP kinase-specific phosphatase 
Dmel_CG12537	rdx	K10523	roadkill
Dmel_CG12534	Alr	K17783	Augmenter of liver regeneration
Dmel_CG10346	Grip71	K16547	CG10346 gene product from transcript CG10346-RA
33289	ppk5	K03440	pickpocket 5
Dmel_CG5417	Srp14	K03104	Signal recognition particle protein 14
32848	VAChT	K14636	CG32848 gene product from transcript CG32848-RA
Dmel_CG18104	arg	K01476	arginase 
Dmel_CG1152	Gld	K00108	Glucose dehydrogenase 
Dmel_CG4303	Bap60	K11650	Brahma associated protein 60kD
Dmel_CG32593	Flo2	K07192	Flotillin 2
Dmel_CG2304	Trc8	K15703	CG2304 gene product from transcript CG2304-RE 
Dmel_CG2655	HLH3B	K09068	Helix loop helix protein 3B
Dmel_CG4618	CHMP2B	K12192	Charged multivesicular body protein 2b
Dmel_CG5433	Klc	K10407	Kinesin light chain
Dmel_CG5430	a5	K17439	antennal protein 5
4717	kni	K08706	knirps
Dmel_CG5436	Hsp68	K03283	Heat shock protein 68
Dmel_CG5434	Srp72	K03108	Signal recognition particle protein 72
1594	hop	K04447	hopscotch 
Dmel_CG12109	Caf1-180	K10750	CG12109 gene product from transcript CG12109-RB
Dmel_CG5108	mRpS7	K02992	mitochondrial ribosomal protein S7
1591	REG	K06698	CG1591 gene product from transcript CG1591-RB
Dmel_CG15433	Elp3	K07739	Elongator complex protein 3 
Dmel_CG10110	Cpsf160	K14401	Cleavage and polyadenylation specificity factor 160
Dmel_CG33871	His4:CG33871	K11254	CG33871 gene product from transcript CG33871-RA
Dmel_CG10117	ttv	K02366	tout-velu 
Dmel_CG11271	RpS12	K02951	Ribosomal protein S12
15793	Dsor1	K04368	Downstream of raf1 
Dmel_CG10118	ple	K00501	pale 
Dmel_CG10119	LamC	K07611	Lamin C
Dmel_CG30396	Gr58a	K08471	Gustatory receptor 58a
15792	zip	K10352	zipper 
Dmel_CG17369	Vha55	K02147	Vacuolar H[+]-ATPase 55kD subunit 
Dmel_CG17436	vtd	K06670	verthandi
33878	His2B:CG33878	K11252	CG33878 gene product from transcript CG33878-RA
Dmel_CG40411	Parp	K10798	Poly-(ADP-ribose) polymerase 
9476	alphaTub85E	K07374	alpha-Tubulin at 85E
Dmel_CG7281	CycC	K15161	Cyclin C 
9474	Snap24	K18211	Synaptosomal-associated protein 24kDa
Dmel_CG1837	prtp	K13984	pretaporter 
Dmel_CG8893	Gapdh2	K00134	Glyceraldehyde 3 phosphate dehydrogenase 2 
Dmel_CG9847	Fkbp14	K09577	FK506-binding protein 14 ortholog 
Dmel_CG8890	Gmd	K01711	GDP-mannose 4,6-dehydratase 
Dmel_CG4071	Vps20	K12195	Vacuolar protein sorting 20
Dmel_CG43770	Sxl	K18747	Sex lethal
17678	cta	K04346	concertina
8979	PI31	K06700	CG8979 gene product from transcript CG8979-RD
Dmel_CG6033	drk	K04364	downstream of receptor kinase
Dmel_CG9429	Crc	K08057	Calreticulin
10637	Nak	K08853	Numb-associated kinase 
10067	Act57B	K05692	Actin 57B
9075	eIF-4a	K03257	Eukaryotic initiation factor 4a 
42279	Nedd4	K10591	CG42279 gene product from transcript CG42279-RJ 
Dmel_CG18559	Cyp309a2	K15006	CG18559 gene product from transcript CG18559-RA 
2302	nAChRalpha3	K05312	nicotinic Acetylcholine Receptor alpha3
Dmel_CG33803	His3:CG33803	K11253	CG33803 gene product from transcript CG33803-RA
Dmel_CG10377	Hrb27C	K14411	Heterogeneous nuclear ribonucleoprotein at 27C
Dmel_CG6206	LM408	K12311	Lysosomal alpha-mannosidase 
Dmel_CG6207	GlcAT-P	K10812	CG6207 gene product from transcript CG6207-RE 
Dmel_CG10372	Faf	K18726	Fas-associated factor
4904	Prosalpha6	K02725	Proteasome alpha6 subunit 
Dmel_CG2013	UbcD6	K10573	Ubiquitin conjugating enzyme 
Dmel_CG10371	Plip	K14165	PTEN-like phosphatase 
2248	Rac1	K04392	CG2248 gene product from transcript CG2248-RB
Dmel_CG10579	Eip63E	K08821	Ecdysone-induced protein 63E 
Dmel_CG32089	Vha16-2	K02155	Vacuolar H[+] ATPase 16kD subunit 2 
Dmel_CG10574	I-2	K16833	Inhibitor-2
Dmel_CG10575	Ppat-Dpck	K02318	Bifunctional Phosphopantetheine adenylyltransferase - Dephospho-CoA kinase 
Dmel_CG14666	Tim17a2	K17795	CG14666 gene product from transcript CG14666-RA 
Dmel_CG10572	Cdk8	K02208	Cyclin-dependent kinase 8 
Dmel_CG6025	Arl1	K07942	ADP ribosylation factor-like 1
Dmel_CG6027	cdi	K08287	center divider 
Dmel_CG12273	angel	K18729	CG12273 gene product from transcript CG12273-RA
Dmel_CG6022	Cchl	K01764	Cytochrome c heme lyase 
Dmel_CG31651	pgant5	K00710	polypeptide GalNAc transferase 5 
Dmel_CG31359	Hsp70Bb	K03283	Heat-shock-protein-70Bb
Dmel_CG6840	Rpb11	K03008	CG6840 gene product from transcript CG6840-RA 
Dmel_CG6846	RpL26	K02898	Ribosomal protein L26
Dmel_CG14670	Hcs	K01942	Holocarboxylase synthetase 
3401	betaTub60D	K07375	beta-Tubulin at 60D
7870	wol	K00729	wollknaeuel 
Dmel_CG6510	RpL18A	K02882	Ribosomal protein L18A
11592	Amnionless	K18259	Amnionless ortholog
Dmel_CG10975	Ptp69D	K01104	Protein tyrosine phosphatase 69D 
Dmel_CG6842	Vps4	K12196	Vacuolar protein sorting 4 
Dmel_CG10861	Atg12	K08336	Autophagy-specific gene 12
Dmel_CG13277	LSm7	K12626	CG13277 gene product from transcript CG13277-RC
4871	ST6Gal	K00778	Sialyltransferase 
Dmel_CG31159	EF-G2	K02355	Elongation Factor G2
Dmel_CG13270	Ugt36Ba	K00699	CG13270 gene product from transcript CG13270-RB 
Dmel_CG13271	Ugt36Bb	K00699	CG13271 gene product from transcript CG13271-RA 
12385	thetaTry	K01312	thetaTrypsin 
12387	zetaTry	K01312	zetaTrypsin 
12386	etaTry	K01312	etaTrypsin 
33126	NLaz	K03098	Neural Lazarillo
Dmel_CG7855	timeout	K03155	CG7855 gene product from transcript CG7855-RA
Dmel_CG3127	Pgk	K00927	Phosphoglycerate kinase 
Dmel_CG8251	Pgi	K01810	Phosphoglucose isomerase 
Dmel_CG3125	IntS6	K13143	Integrator 6
Dmel_CG6335	Aats-his	K01892	Histidyl-tRNA synthetase 
Dmel_CG13472	Tdrd3	K18404	tudor domain containing 3 ortholog (H. sapiens)
Dmel_CG3682	PIP5K59B	K00889	CG3682 gene product from transcript CG3682-RI 
2060	Cyp4e2	K15001	Cytochrome P450-4e2 
Dmel_CG6339	rad50	K10866	CG6339 gene product from transcript CG6339-RE 
2062	Cyp4e1	K15001	Cytochrome P450-4e1 
2791	CD98hc	K06519	CD98 heavy chain
Dmel_CG13478	shd	K10723	shade 
Dmel_CG31155	Rpb7	K03015	CG31155 gene product from transcript CG31155-RA 
Dmel_CG3129	Rab18	K07910	CG3129 gene product from transcript CG3129-RA
1167	Ras64B	K07830	Ras oncogene at 64B
Dmel_CG3658	CDC45L	K06628	CG3658 gene product from transcript CG3658-RA
10580	fng	K05948	fringe 
Dmel_CG32626	AMPdeam	K01490	AMP deaminase 
Dmel_CG3654	Jarid2	K11478	Jumonji, AT rich interactive domain 2
Dmel_CG3307	pr-set7	K11428	CG3307 gene product from transcript CG3307-RB
Dmel_CG3656	Cyp4d1	K15001	Cytochrome P450-4d1 
Dmel_CG3305	Lamp1	K06528	CG3305 gene product from transcript CG3305-RA
Dmel_CG6155	Roe1	K03687	CG6155 gene product from transcript CG6155-RA
9092	Gal	K12309	beta galactosidase 
9093	Tsp26A	K17345	Tetraspanin 26A
10691	l(2)37Cc	K17080	lethal (2) 37Cc
Dmel_CR31379	snRNA:U6:96Aa	K14280	small nuclear RNA U6 at 96Aa
8782	Oat	K00819	Ornithine aminotransferase precursor 
Dmel_CG33823	His2A:CG33823	K11251	CG33823 gene product from transcript CG33823-RA
9655	nes	K13515	nessy
10123	Top3alpha	K03165	Topoisomerase 3alpha 
Dmel_CG10805	l(2)k09022	K14550	lethal (2) k09022
42856	Sik3	K16311	Salt-inducible kinase 3 
Dmel_CG3495	Gmer	K02377	GDP-4-keto-6-deoxy-D-mannose 3,5-epimerase/4-reductase 
Dmel_CG7793	Sos	K03099	Son of sevenless
Dmel_CG31280	Gr94a	K08471	Gustatory receptor 94a
5091	gny	K03848	garnysstan 
Dmel_CG31289	Dph5	K00586	Diphthamide methyltransferase 
10006	Zip71B	K14711	Zinc/iron regulated transporter-related protein 71B
Dmel_CG7001	Pk17E	K08286	Protein kinase-like 17E 
Dmel_CG6538	TfIIFbeta	K03139	Transcription factor TFIIFbeta 
Dmel_CG6539	Gem3	K13131	Gemin3 
Dmel_CG1793	MED26	K15169	Mediator complex subunit 26
Dmel_CG7004	fwd	K00888	four wheel drive 
Dmel_CG7007	VhaPPA1-1	K03661	Vacuolar H[+] ATPase PPA1 subunit 1 
Dmel_CG1921	sty	K17383	sprouty
Dmel_CG6530	mthl3	K04599	methuselah-like 3
Dmel_CG14472	poe	K10691	purity of essence 
Dmel_CG6536	mthl4	K04599	methuselah-like 4
Dmel_CG3017	Alas	K00643	Aminolevulinate synthase 
Dmel_CG6534	slou	K09309	slouch
Dmel_CG6535	tefu	K04728	telomere fusion 
Dmel_CG4206	Mcm3	K02541	Minichromosome maintenance 3
Dmel_CG4207	bonsai	K02956	CG4207 gene product from transcript CG4207-RA
Dmel_CG4204	EloB	K03873	Elongin B
Dmel_CG4202	Sas10	K14767	Something about silencing 10 ortholog (S. cerevisiae)
Dmel_CG4200	sl	K01116	small wing 
Dmel_CG4201	ird5	K07209	immune response deficient 5 
Dmel_CG7957	MED17	K15133	Mediator complex subunit 17
Dmel_CG7771	sim	K09100	single-minded
Dmel_CG8798	Lon	K08675	Lon protease 
Dmel_CG7952	gt	K09062	giant
Dmel_CG4208	XRCC1	K10803	CG4208 gene product from transcript CG4208-RA
Dmel_CG4209	CanB	K06268	Calcineurin B 
10545	Gbeta13F	K04536	G protein beta-subunit 13F
7111	Rack1	K14753	Receptor of activated protein kinase C 1
Dmel_CG10986	g	K12396	garnet
33788	snRNA:U2:34ABc	K14277	small nuclear RNA U2 at 34ABc
10540	cpa	K10364	capping protein alpha
Dmel_CG3274	Bap170	K11765	Brahma associated protein 170kD
Dmel_CG6121	Tip60	K11304	CG6121 gene product from transcript CG6121-RA 
Dmel_CG31133	Slimp	K01875	Seryl-tRNA synthetase-like insect mitochondrial protein 
Dmel_CG31132	BRWD3	K11798	CG31132 gene product from transcript CG31132-RA
Dmel_CG31137	twin	K12603	CG31137 gene product from transcript CG31137-RE
Dmel_CG31136	Syx1A	K04560	Syntaxin 1A
Dmel_CG3782	mRpL28	K02902	mitochondrial ribosomal protein L28
1644	Cyp6t1	K14999	CG1644 gene product from transcript CG1644-RA 
Dmel_CG3780	Spx	K12831	Spliceosomal protein on the X
Dmel_CG4978	Mcm7	K02210	Minichromosome maintenance 7
Dmel_CG16740	Rh2	K04255	Rhodopsin 2
Dmel_CG4974	dally	K02306	division abnormally delayed
Dmel_CG4976	Mes-4	K11424	CG4976 gene product from transcript CG4976-RB 
Dmel_CG17610	grk	K02447	gurken
Dmel_CG17611	eIF6	K03264	CG17611 gene product from transcript CG17611-RA
Dmel_CG8068	Su(var)2-10	K04706	Suppressor of variegation 2-10
Dmel_CG4973	mdlc	K13127	midlife crisis
Dmel_CG8666	Tsp39D	K06497	Tetraspanin 39D
44159	Irk1	K05330	Inwardly rectifying potassium channel 1
2902	Nmdar1	K05208	NMDA receptor 1
Dmel_CG13726	Or74a	K08471	Odorant receptor 74a
1743	Gs2	K01915	Glutamine synthetase 2 
Dmel_CG11033	Kdm2	K10276	Lysine (K)-specific demethylase 2
Dmel_CG18361	dsh	K02353	dishevelled
Dmel_CG5924	mtDNA-helicase	K17680	mitochondrial DNA helicase
Dmel_CG1258	pav	K17387	pavarotti
Dmel_CG18362	Mio	K09113	Mlx interactor
Dmel_CG18811	Capr	K18743	Caprin
Dmel_CG5925	Desat2	K00507	Desaturase 2 
Dmel_CG4373	Cyp6d2	K14999	CG4373 gene product from transcript CG4373-RA 
Dmel_CG1250	Sec23	K14006	Sec23 ortholog (S. cerevisiae)
Dmel_CG4371	GstD7	K00799	Glutathione S transferase D7 
Dmel_CG4376	Actn	K05699	alpha actinin
15081	Phb2	K17081	Prohibitin 2
Dmel_CG12051	Act42A	K05692	Actin 42A
Dmel_CG33846	His1:CG33846	K11275	CG33846 gene product from transcript CG33846-RA
Dmel_CG33845	His3:CG33845	K11253	CG33845 gene product from transcript CG33845-RA
Dmel_CG1787	Hexo2	K12373	Hexosaminidase 2 
Dmel_CG12055	Gapdh1	K00134	Glyceraldehyde 3 phosphate dehydrogenase 1 
Dmel_CG33842	His3:CG33842	K11253	CG33842 gene product from transcript CG33842-RA
Dmel_CG17577	Cyp9h1	K15003	CG17577 gene product from transcript CG17577-RA 
Dmel_CG1783	Slip1	K15682	CG1783 gene product from transcript CG1783-RA
33872	His2B:CG33872	K11252	CG33872 gene product from transcript CG33872-RA
Dmel_CG33166	stet	K02857	stem cell tumor 
33870	His2B:CG33870	K11252	CG33870 gene product from transcript CG33870-RA
33876	His2B:CG33876	K11252	CG33876 gene product from transcript CG33876-RA
Dmel_CG6019	mus308	K02349	mutagen-sensitive 308 
Dmel_CG33849	His1:CG33849	K11275	CG33849 gene product from transcript CG33849-RA
Dmel_CG33848	His3:CG33848	K11253	CG33848 gene product from transcript CG33848-RA
7097	hppy	K08833	happyhour 
Dmel_CG9930	E5	K09317	CG9930 gene product from transcript CG9930-RB
Dmel_CG3870	RabX1	K07890	CG3870 gene product from transcript CG3870-RA
Dmel_CG31620	Gr39b	K08471	Gustatory receptor 39b
5434	Srp72	K03108	Signal recognition particle protein 72
Dmel_CG31622	Gr39a	K08471	Gustatory receptor 39a
Dmel_CG42670	ps	K14944	pasilla
31651	pgant5	K00710	polypeptide GalNAc transferase 5 
6492	Ucp4A	K15112	CG6492 gene product from transcript CG6492-RB
8527	ppk23	K03440	pickpocket 23
Dmel_CG31628	ade3	K11787	adenosine 3 
3362	cN-IIIB	K01081	cytosolic 5'-nucleotidase IIIB 
Dmel_CG42677	wb	K05637	wing blister
40478	Dyrk3	K18669	Dual-specificity tyrosine phosphorylation-regulated kinase 3 
4869	betaTub97EF	K07375	beta-Tubulin at 97EF
Dmel_CG8402	PpD3	K04460	Protein phosphatase D3
Dmel_CG1651	Ank	K10380	Ankyrin
Dmel_CG7171	Uro	K00365	Urate oxidase 
18110	ppk30	K03440	pickpocket 30
4244	Su(dx)	K05633	Suppressor of deltex 
Dmel_CG7177	Wnk	K08867	WNK homolog 
Dmel_CG7176	Idh	K00031	Isocitrate dehydrogenase 
Dmel_CG8332	RpS15	K02958	Ribosomal protein S15
Dmel_CG8333	E(spl)mgamma-HLH	K09090	Enhancer of split mgamma, helix-loop-helix
8107	CalpB	K08585	Calpain-B
Dmel_CG5933	Ime4	K05925	Inducer of meiosis 4 
4276	aru	K17277	arouser
Dmel_CG5931	l(3)72Ab	K12854	lethal (3) 72Ab 
Dmel_CG5930	TfIIA-L	K03122	Transcription factor IIA L
Dmel_CG4157	Rpn12	K03031	Regulatory particle non-ATPase 12
Dmel_CG4154	Gyc88E	K01769	Guanylyl cyclase at 88E 
Dmel_CG8339	sfl	K02577	sulfateless 
Dmel_CG4152	l(2)35Df	K12598	lethal (2) 35Df 
Dmel_CG4153	eIF-2beta	K03238	Eukaryotic initiation factor 2beta
Dmel_CG1430	bys	K14797	by S6
6958	Nup133	K14300	Nucleoporin 133kD
9868	Prosbeta5R1	K02737	Proteasome beta5 subunit-related 1 
Dmel_CG10627	nst	K01836	nesthocker 
Dmel_CG8542	Hsc70-5	K04043	Heat shock protein cognate 5 
4599	Tpr2	K09527	Tetratricopeptide repeat protein 2
Dmel_CG14901	Gr89a	K08471	Gustatory receptor 89a
Dmel_CG31721	Trim9	K10649	CG31721 gene product from transcript CG31721-RB 
9862	Rae1	K14298	CG9862 gene product from transcript CG9862-RA
Dmel_CG15081	Phb2	K17081	Prohibitin 2
9867	Eogt	K18134	EGF-domain O-GlcNAc transferase 
10988	Grip91	K16570	Gamma-tubulin ring protein 91
Dmel_CG18492	Tak1	K04427	TGF-beta activated kinase 1 
42949	let-7	K16980	let-7-RA
Dmel_CG9681	PGRP-SB1	K01446	CG9681 gene product from transcript CG9681-RA 
Dmel_CG9680	Dbp73D	K14807	Dead box protein 73D 
Dmel_CG18495	Prosalpha1	K02730	Proteasome alpha1 subunit 
Dmel_CG11420	png	K08286	pan gu 
Dmel_CG43657	Myo10A	K10361	Myosin 10A 
Dmel_CG17970	Cyp4ac2	K15001	CG17970 gene product from transcript CG17970-RB 
Dmel_CG10691	l(2)37Cc	K17080	lethal (2) 37Cc
Dmel_CG32179	Krn	K16691	Keren
Dmel_CG5670	Atpalpha	K01539	Na pump alpha subunit 
33874	His2B:CG33874	K11252	CG33874 gene product from transcript CG33874-RA
Dmel_CG42707	I-3	K17553	Inhibitor-3
1519	Prosalpha7	K02727	Proteasome alpha7 subunit 
Dmel_CG12186	Aats-pro	K01881	Prolyl-tRNA synthetase 
1515	Ykt6	K08516	YKT6 ortholog (S. cerevisiae) 
Dmel_CG7026	VhaPPA1-2	K03661	Vacuolar H[+] ATPase PPA1 subunit 2 
Dmel_CG12189	Rev1	K03515	CG12189 gene product from transcript CG12189-RA 
Dmel_CG14616	l(1)G0196	K13024	lethal (1) G0196 
1511	Eph	K05110	Eph receptor tyrosine kinase 
Dmel_CG8241	pea	K12818	peanuts 
Dmel_CG5338	RpS19b	K02966	Ribosomal protein S19b
Dmel_CG5848	cact	K09259	cactus
Dmel_CG9118	LysD	K01185	Lysozyme D 
Dmel_CG2827	Tal	K00616	CG2827 gene product from transcript CG2827-RA 
Dmel_CG9115	mtm	K18081	myotubularin 
Dmel_CG5330	Nap1	K11279	Nucleosome assembly protein 1
Dmel_CG5841	mib1	K10645	mind bomb 1 
Dmel_CG5840	P5cr-2	K00286	Pyrroline-5-carboxylate reductase-like 2 
Dmel_CG9111	LysC	K01185	Lysozyme C 
Dmel_CG6620	ial	K11479	IplI-aurora-like kinase 
Dmel_CG9113	AP-1gamma	K12391	Adaptor Protein complex 1, gamma subunit
Dmel_CG1322	zfh1	K09299	Zn finger homeodomain 1
Dmel_CG4792	Dcr-1	K11592	Dicer-1 
Dmel_CG34395	nub	K09364	nubbin
5887	Desat1	K00507	Desaturase 1 
Dmel_CG34390	Rgk2	K07847	Rad, Gem/Kir family member 2
Dmel_CG4798	l(2)k01209	K00876	lethal (2) k01209 
Dmel_CG18140	Cht3	K01183	Chitinase 3 
Dmel_CG18143	DhpD	K01487	Dihydropterin deaminase 
Dmel_CG18144	Hand	K18486	CG18144 gene product from transcript CG18144-RA
Dmel_CG11502	svp	K14032	seven up
Dmel_CG34407	Not1	K12604	CG34407 gene product from transcript CG34407-RG
Dmel_CG4550	ninaE	K13802	neither inactivation nor afterpotential E
Dmel_CG4551	Dyrk2	K18669	Dual-specificity tyrosine phosphorylation-regulated kinase 2 
Dmel_CG34403	pan	K04491	pangolin
31133	Slimp	K01875	Seryl-tRNA synthetase-like insect mitochondrial protein 
Dmel_CG11877	Atg14	K17889	Autophagy-specific gene 14
Dmel_CG9696	dom	K11320	domino 
Dmel_CG12233	l(1)G0156	K00030	lethal (1) G0156 
Dmel_CG12232	Galphaf	K04640	G protein alpha f subunit
Dmel_CG12235	Arp10	K16576	Actin-related protein 10
Dmel_CG12234	Ranbp21	K14289	CG12234 gene product from transcript CG12234-RB
Dmel_CG31929	Gr22c	K08471	Gustatory receptor 22c
Dmel_CG6090	RpL34a	K02915	Ribosomal protein L34a
Dmel_CG1683	Ant2	K05863	Adenine nucleotide translocase 2
3182	sei	K05322	seizure
18345	trpl	K13803	transient receptor potential-like
Dmel_CG9753	AdoR	K04266	Adenosine receptor
Dmel_CG17596	S6kII	K04373	Ribosomal protein S6 kinase II 
Dmel_CG9750	rept	K11338	reptin 
Dmel_CG9204	Ate1	K00685	CG9204 gene product from transcript CG9204-RA 
Dmel_CG9207	Gas41	K11341	CG9207 gene product from transcript CG9207-RA
Dmel_CG9206	Gl	K04648	Glued
Dmel_CG12740	RpL28	K02903	Ribosomal protein L28
Dmel_CG2222	Psf3	K10734	CG2222 gene product from transcript CG2222-RC
Dmel_CG11290	enok	K11306	enoki mushroom 
Dmel_CG17515	Rab21	K07890	CG17515 gene product from transcript CG17515-RD
Dmel_CG11295	l(2)dtl	K11790	lethal-(2)-denticleless
Dmel_CR33358	5SrRNA:CR33358	K01981	5S ribosomal RNA
Dmel_CG10580	fng	K05948	fringe 
Dmel_CG10583	Sse	K02365	Separase 
Dmel_CG10582	Sin	K14721	Sex-lethal interactor 
8583	Sec63	K09540	Sec63 ortholog (S. cerevisiae)
Dmel_CG5208	Patr-1	K12617	Protein associated with topo II related - 1
Dmel_CG1106	Gel	K05768	Gelsolin
Dmel_CG5206	bon	K08883	bonus 
Dmel_CR33354	5SrRNA:CR33354	K01981	5S ribosomal RNA
Dmel_CG32823	Sdic3	K10415	Sperm-specific dynein intermediate chain 3
Dmel_CG5203	CHIP	K09561	CG5203 gene product from transcript CG5203-RA 
Dmel_CR33357	5SrRNA:CR33357	K01981	5S ribosomal RNA
Dmel_CG10210	tst	K12599	twister
Dmel_CG10212	SMC2	K06674	CG10212 gene product from transcript CG10212-RA 
Dmel_CG10215	Ercc1	K10849	CG10215 gene product from transcript CG10215-RA
6603	Hsc70Cb	K09485	CG6603 gene product from transcript CG6603-RI
4012	gek	K16307	genghis khan 
Dmel_CG11614	nkd	K03213	naked cuticle
Dmel_CG30092	jbug	K04437	jitterbug
4016	Spt-I	K00654	Serine palmitoyltransferase subunit I 
Dmel_CG11611	Tim13	K17781	CG11611 gene product from transcript CG11611-RA 
9887	VGlut	K12302	Vesicular glutamate transporter
9885	dpp	K04662	decapentaplegic
Dmel_CG12526	Or67a	K08471	Odorant receptor 67a
8798	Lon	K08675	Lon protease 
Dmel_CG11188	Aatf	K14782	apoptosis antagonizing transcription factor ortholog
Dmel_CG11186	toy	K08031	twin of eyeless
Dmel_CG11184	Upf3	K14328	CG11184 gene product from transcript CG11184-RB
Dmel_CG4840	cbs	K16731	centrosomin's beautiful sister
Dmel_CG12529	Zw	K00036	Zwischenferment 
Dmel_CG11183	Dcp1	K12611	Decapping protein 1
Dmel_CG11181	cup	K18746	CG11181 gene product from transcript CG11181-RC
Dmel_CG44890	Tgs1	K14292	Trimethylguanosine synthase 1 ortholog (H. sapiens) 
Dmel_CG17903	Cyt-c-p	K08738	Cytochrome c proximal
5064	Srp68	K03107	Signal recognition particle protein 68
Dmel_CG31072	Lerp	K06564	lysosomal enzyme receptor protein
Dmel_CG12101	Hsp60	K04077	Heat shock protein 60
9057	Lsd-2	K17284	Lipid storage droplet-2
12770	Vps28	K12184	Vacuolar protein sorting 28
6120	Tsp96F	K06508	Tetraspanin 96F
8156	Arf51F	K07941	ADP ribosylation factor at 51F 
3469	betaggt-I	K11713	beta subunit of type I geranylgeranyl transferase 
Dmel_CG15191	e(y)2	K11368	enhancer of yellow 2
6128	Fuca	K01206	alpha-L-fucosidase 
Dmel_CG2647	per	K02633	period
Dmel_CG5444	Taf4	K03129	TBP-associated factor 4
Dmel_CG5442	SC35	K12891	CG5442 gene product from transcript CG5442-RC
Dmel_CG5441	tx	K09104	taxi
Dmel_CG9868	Prosbeta5R1	K02737	Proteasome beta5 subunit-related 1 
1891	sax	K04675	saxophone 
16912	Aats-tyr-m	K01866	mitochondrial tyrosyl-tRNA synthetase 
Dmel_CG10107	velo	K08596	veloren 
Dmel_CR33385	5SrRNA:CR33385	K01981	5S ribosomal RNA
Dmel_CG11987	tgo	K09097	tango
Dmel_CG34379	Shroom	K18625	CG34379 gene product from transcript CG34379-RH
Dmel_CG11981	Prosbeta3	K02735	Proteasome beta3 subunit 
10952	eag	K05322	ether a go-go 
1115	Vps37B	K12185	Vacuolar protein sorting 37B
10951	niki	K08857	nimA-like kinase 
Dmel_CG11767	Or24a	K08471	Odorant receptor 24a
Dmel_CG11988	neur	K01931	neuralized 
8676	Hr39	K08705	Hormone receptor-like in 39
17200	Ugt86Dg	K00699	CG17200 gene product from transcript CG17200-RB 
4104	Tps1	K16055	Trehalose-6-phosphate synthase 1 
Dmel_CG4217	TFAM	K11830	mitochondrial transcription factor A
