AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT4G34160	CYCD3;1	K14505	cyclin-D3-1
AT1G10830	Z-ISO	K15744	15-cis-zeta-carotene isomerase
AT5G45970	RAC2	K04392	Rac-like GTP-binding protein ARAC2
AT1G65650	UCH2	K05610	peptidase C12, ubiquitin carboxyl-terminal hydrolase 2
AT3G61110	RS27A	K02978	40S ribosomal protein S27-2
AT1G76130	AMY2	K01176	alpha-amylase-like 2
AT5G37630	EMB2656	K06678	protein EMBRYO DEFECTIVE 2656
AT4G14110	COP9	K12181	COP9 signalosome complex subunit 8
AT2G31350	GLX2-5	K01069	Hydroxyacylglutathione hydrolase 2
AT2G38720	MAP65-5	K16732	microtubule-associated protein 65-5
AT5G12290	DGS1	K18158	dgd1 suppressor 1
AT5G03470	ATB'_ALPHA	K11584	protein phosphatase 2A B' alpha
AT5G09730	BXL3	K15920	beta-xylosidase 3
AT3G59280	TXR1	K17805	protein THAXTOMIN A RESISTANT 1
AT5G37180	SUS5	K00695	sucrose synthase 5
AT3G27810	MYB21	K09422	transcription factor MYB21
AT2G28190	CSD2	K04565	copper/zinc superoxide dismutase 2
AT2G30110	UBA1	K03178	ubiquitin-activating enzyme E1 1
AT5G53120	SPDS3	K00797	Spermine synthase
AT4G13480	MYB79	K09422	myb domain protein 79
AT4G28660	PSB28	K08903	photosystem II reaction center PSB28 protein
AT4G25470	CBF2	K09286	dehydration-responsive element-binding protein 1C
AT1G71920	HISN6B	K00817	histidinol-phosphate aminotransferase 2
AT2G25230	MYB100	K09422	putative transcription factor MYB100
AT5G22300	NIT4	K13035	bifunctional nitrilase/nitrile hydratase NIT4
AT5G57550	XTH25	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 25
AT2G06510	RPA1A	K07466	replication factor A 1A
AT2G01760	RR14	K14491	two-component response regulator ARR14
AT3G17860	JAZ3	K13464	jasmonate-zim-domain protein 3
AT5G03455	CDC25	K18065	dual specificity phosphatase Cdc25
AT5G25900	GA3	K04122	Ent-kaurene oxidase 1
AT2G14620	XTH10	K08235	xyloglucan endotransglucosylase/hydrolase protein 10
AT3G54280	RGD3	K15192	TATA-binding protein-associated factor BTAF1
AT4G00680	ADF8	K05765	actin depolymerizing factor 8
AT5G04900	NOL	K13606	chlorophyll(ide) b reductase NOL
AT4G34990	MYB32	K09422	transcription factor MYB32
AT2G46340	SPA1	K16240	protein SUPPRESSOR OF PHYA-105
AT4G39650	GGT2	K18592	gamma-glutamyl transpeptidase 2
AT3G02350	GAUT9	K13648	putative galacturonosyltransferase 9
AT5G50380	EXO70F1	K07195	exocyst subunit exo70 family protein F1
AT4G30290	XTH19	K08235	xyloglucan endotransglucosylase/hydrolase 19
AT2G31510	ARI7	K11968	putative E3 ubiquitin-protein ligase ARI7
AT5G08280	HEMC	K01749	Porphobilinogen deaminase
AT1G02500	SAM1	K00789	S-adenosylmethionine synthetase 1
AT1G60620	RPAC43	K03027	RNA polymerase I subunit 43
ArthMp044	nad1	K03878	NADH dehydrogenase subunit 1
ArthMp043	nad7	K03935	NADH dehydrogenase subunit 7 
ArthMp040	orfB	K02109	orfB
AT5G24410	PGL4	K01057	6-phosphogluconolactonase 4
AT5G56360	PSL4	K08288	glucosidase II beta subunit protein PSL4
AT3G55630	DFD	K01930	folylpolyglutamate synthase 3
AT4G15880	ESD4	K08592	ubiquitin-like-specific protease ESD4
AT5G09640	SCPL19	K09756	serine carboxypeptidase-like 19
AT1G80820	CCR2	K09753	cinnamoyl-CoA reductase
AT1G66750	CAK4	K02202	cyclin-dependent kinase D-2
AT3G04400	emb2171	K02894	60S ribosomal protein L23
AT5G58080	RR18	K14491	response regulator 18
AT4G38920	VHA-C3	K02155	vacuolar-type H(+)-ATPase C3
AT4G34970	ADF9	K05765	actin depolymerizing factor 9
AT4G04740	CPK23	K13412	calcium-dependent protein kinase 23
AT2G24050	eIFiso4G2	K03260	eukaryotic translation initiation factor isoform 4G-2
AT5G19360	CPK34	K13412	calcium-dependent protein kinase 34
AT5G10870	CM2	K01850	chorismate mutase 2
AT2G37620	ACT1	K10355	actin 1
AT3G53760	GCP4	K16571	gamma-tubulin complex component 4
AT5G08730	ARI16	K11968	putative E3 ubiquitin-protein ligase ARI16
AT5G49010	SLD5	K10735	SLD5 component of GINS complex-like protein
AT3G13890	MYB26	K09422	myb domain protein 26
AT5G49810	MMT	K08247	methionine S-methyltransferase
AT1G61570	TIM13	K17781	mitochondrial import inner membrane translocase subunit Tim13
AT1G15390	PDF1A	K01462	peptide deformylase 1A
AT5G19690	STT3A	K07151	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
AT4G35000	APX3	K00434	L-ascorbate peroxidase
AT2G14750	APK	K00860	Adenylyl-sulfate kinase 1
AT3G16770	EBP	K09286	ethylene-responsive transcription factor RAP2-3
AT4G25500	RSP35	K12893	arginine/serine-rich splicing factor 35
AT3G28970	AAR3	K17822	protein ANTIAUXIN-RESISTANT 3
AT3G23250	MYB15	K09422	myb domain protein 15
AT2G26830	emb1187	K00894	protein embryo defective 1187
AT2G06990	HEN2	K12598	protein HUA ENHANCER 2
AT3G16950	LPD1	K00382	lipoamide dehydrogenase 1
AT1G05560	UGT75B1	K13692	UDP-glucosyltransferase 75B1
AT1G52740	HTA9	K11251	histone H2A protein 9
AT5G56080	NAS2	K05953	nicotianamine synthase 2
AT3G42670	CHR38	K10875	chromatin remodeling 38
AT1G16340	ATKDSA2	K01627	2-dehydro-3-deoxyphosphooctonate aldolase 2
AT2G14170	ALDH6B2	K00140	Methylmalonate-semialdehyde dehydrogenase [acylating]
AT4G35950	RAC6	K04392	Rac-like GTP-binding protein ARAC6
AT4G01820	PGP3	K05658	ABC transporter B family member 3
AT4G19680	IRT2	K14709	Fe(2+) transport protein 2
AT5G56640	MIOX5	K00469	myo-inositol oxygenase 5
AT5G46570	BSK2	K14500	BR-signaling kinase 2
AT1G69770	CMT3	K00558	DNA (cytosine-5)-methyltransferase CMT3
AT5G23020	IMS2	K15742	methylthioalkylmalate synthase 3
AT4G15530	PPDK	K01006	pyruvate, phosphate dikinase 1
AT1G04760	VAMP726	K08511	vesicle-associated membrane protein 726
AT2G36610	HB22	K09338	homeobox-leucine zipper protein ATHB-22
AT5G54800	GPT1	K15283	glucose-6-phosphate/phosphate translocator 1
AT5G38480	GRF3	K06630	14-3-3-like protein GF14 psi
AT2G35520	DAD2	K12668	Defender against cell death 2
AT2G05070	LHCB2.2	K08913	photosystem II light harvesting complex protein 2.2
AT4G11980	NUDX14	K18447	nudix hydrolase 14
AT1G14110	FUT9	K13681	fucosyltransferase 9
AT4G09460	MYB6	K09422	transcription repressor MYB6
AT2G40940	ERS1	K14509	ethylene response sensor 1
AT1G04250	AXR3	K14484	auxin-responsive protein IAA17
AT4G36920	AP2	K09284	Floral homeotic protein APETALA 2
AT1G66350	RGL1	K14494	DELLA protein RGL1
AT4G26970	ACO2	K01681	aconitase 2
AT2G20190	CLASP	K16578	CLIP-associated protein
AT2G31170	SYCO_ARATH	K01883	cysteinyl-tRNA synthetase
AT2G01730	CPSF73-II	K13148	cleavage and polyadenylation specificity factor subunit 3-II
AT3G13570	SCL30A	K12900	SC35-like splicing factor 30A
AT2G15570	ATHM3	K03671	thioredoxin M3
AT3G02920	RPA32B	K10739	replication protein RPA32B
AT5G10030	TGA4	K14431	transcription factor TGA4
AT4G36450	MPK14	K04371	mitogen-activated protein kinase 14
AT4G10340	LHCB5	K08916	chlorophyll a-b binding protein CP26
AT1G14620	DECOY	K17427	protein decoy
AT5G49650	XK-2	K00854	xylulose kinase-2
AT2G44160	MTHFR2	K00297	methylenetetrahydrofolate reductase 2
AT5G47220	ERF2	K14517	ethylene-responsive transcription factor 2
AT1G48635	PEX3	K13336	peroxin 3
AT3G46000	ADF2	K05765	actin depolymerizing factor 2
AT2G19800	MIOX2	K00469	myo-inositol oxygenase 2
AT5G40650	SDH2-2	K00235	succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2
AT2G15390	FUT4	K13681	probable fucosyltransferase 4
AT1G11755	LEW1	K11778	cis-prenyltransferase, dehydrodolichyl diphosphate synthase
AT3G22460	OASA2	K01738	O-acetylserine (thiol) lyase (OAS-TL) isoform A2
AT5G60230	SEN2	K15322	tRNA splicing endonuclease subunit Sen2-2
AT4G37490	CYCB1;1	K05868	cyclin-B1-1
AT4G33430	BAK1	K13416	Leu-rich receptor Serine/threonine protein kinase BAK1
AT2G34850	MEE25	K12448	putative UDP-arabinose 4-epimerase 2
AT5G57990	UBP23	K11855	ubiquitin carboxyl-terminal hydrolase 23
AT1G04170	EIF2_GAMMA	K03242	translation initiation factor eIF-2 gamma subunit
AT5G64560	MGT9	K16075	magnesium transporter MRS2-2
AT2G18040	PIN1AT	K09578	peptidyl-prolyl cis-trans isomerase Pin1
AT5G09260	VPS20.2	K12195	vacuolar protein sorting-associated protein 20-2
AT2G18510	emb2444	K12831	RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G24470	PRR5	K12130	pseudo-response regulator 5
AT1G01420	UGT72B3	K08237	UDP-glucosyltransferase 72B3
AT4G30340	DGK7	K00901	diacylglycerol kinase 7
AT5G67300	MYBR1	K09422	transcription factor MYB44
AT4G27230	HTA2	K11251	histone H2A 2
AT1G44446	CH1	K13600	chlorophyllide a oxygenase
AT3G17810	PYD1	K00207	putative dihydropyrimidine dehydrogenase
AT1G43710	emb1075	K01590	serine decarboxylase 1
AT1G32340	NHL8	K11971	NDR1/HIN1-like 8
AT3G23240	ERF1	K14516	ethylene-responsive transcription factor 1B
AT3G23920	BAM1	K01177	beta-amylase 1
AT5G42790	PAF1	K02725	proteasome alpha subunit F1
AT4G00710	BSK3	K14500	BR-signaling kinase 3
AT5G13220	JAZ10	K13464	protein TIFY 9
AT5G64860	DPE1	K00705	4-alpha-glucanotransferase DPE1
AT3G07770	Hsp89.1	K09487	HEAT SHOCK PROTEIN 89.1
AT5G66160	RMR1	K15692	receptor homology-transmembrane-ring H2 domain protein 1
AT5G60620	GPAT9	K13506	glycerol-3-phosphate acyltransferase 9
AT3G23030	IAA2	K14484	auxin-responsive protein IAA2
AT5G57190	PSD2	K01613	phosphatidylserine decarboxylase 2
AT3G51910	HSFA7A	K09419	heat stress transcription factor A-7a
AT1G02510	TPK4	K05389	two-pore potassium channel 4
AT1G79900	BAC2	K15109	mitochondrial arginine transporter BAC2
AT5G50810	TIM8	K17780	translocase inner membrane subunit 8
AT5G13450	ATP5	K02137	delta subunit of Mt ATP synthase
AT4G16570	PRMT7	K11438	protein arginine N-methyltransferase 7
AT3G08720	S6K2	K04688	serine/threonine protein kinase 2
AT1G19670	CLH1	K08099	chlorophyllase 1
AT5G51810	GA20OX2	K05282	gibberellin 20 oxidase 2
AT3G11020	DREB2B	K09286	dehydration-responsive element-binding protein 2B
AT3G04580	EIN4	K14509	protein EIN4
AT3G15210	ERF4	K09286	ethylene-responsive transcription factor 4
AT2G16440	MCM4	K02212	minichromosome maintenance protein 4
AT1G60550	ECHID	K01661	1,4-Dihydroxy-2-naphthoyl-CoA synthase
AT5G20020	RAN2	K07936	GTP-binding nuclear protein Ran-2
AT5G24270	SOS3	K06268	calcineurin B-like protein 4
AT3G63080	GPX5	K00432	glutathione peroxidase 5
AT2G37560	ORC2	K02604	origin recognition complex subunit 2
AT2G43100	IPMI2	K01704	isopropylmalate isomerase 2
AT5G42240	scpl42	K16297	serine carboxypeptidase-like 42
AT2G47490	NDT1	K15115	NAD+ transporter 1
AT4G14070	AAE15	K01897	long-chain-fatty-acid--[acyl-carrier-protein] ligase AEE15
AT5G43280	DCI1	K12663	delta(3,5),delta(2,4)-dienoyl-CoA isomerase 1
AT5G35790	G6PD1	K00036	glucose-6-phosphate dehydrogenase 1
AT3G59990	MAP2B	K01265	methionine aminopeptidase 2B
AT3G60360	EDA14	K14769	putative U3 small nucleolar RNA-associated protein 11
AT2G15620	NIR1	K00366	Ferredoxin--nitrite reductase
AT4G34890	XDH1	K00106	xanthine dehydrogenase 1
AT1G49720	ABF1	K14432	abscisic acid-insensitive 5-like protein 4
AT1G47840	HXK3	K00844	hexokinase 3
AT1G74230	GR-RBP5	K12741	glycine-rich RNA-binding protein 5
AT2G24720	GLR2.2	K05387	glutamate receptor 2.2
AT5G05540	SDN2	K14570	small RNA degrading nuclease 2
AT3G15850	FAD5	K00507	palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase
AT4G22080	RHS14	K01728	root hair specific 14
AT2G17800	ARAC1	K04392	Rac-like GTP-binding protein ARAC1
AT3G15540	IAA19	K14484	auxin-responsive protein IAA19
AT5G44030	CESA4	K10999	cellulose synthase A catalytic subunit 4 [UDP-forming]
AT1G12370	PHR1	K01669	photolyase 1
AT3G54720	AMP1	K01301	glutamate carboxypeptidase
AT2G02860	SUT2	K15378	sucrose transport protein SUC3
AT1G26570	UGD1	K00012	UDP-glucose dehydrogenase 1
AT4G17710	HDG4	K09338	homeobox-leucine zipper protein HDG4
AT5G47040	LON2	K01338	lon protease-like 2
AT2G44610	RAB6A	K07893	Ras-related protein RABH1B
AT1G64660	MGL	K01761	methionine gamma-lyase
AT1G03770	RING1B	K10695	putative E3 ubiquitin-protein ligase RING1b
AT1G51590	MNS1	K01230	mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1
AT1G79610	NHX6	K14724	sodium/hydrogen exchanger 6
AT4G21540	SPHK1	K04718	sphingosine kinase 1
AT1G77990	AST56	K17469	sulfate transporter 2;2
AT5G24300	SSI1	K00703	starch synthase 1
AT4G33650	DRP3A	K17065	dynamin-related protein 3A
AT2G36190	cwINV4	K01193	beta-fructofuranosidase, insoluble isoenzyme CWINV4
AT4G26740	ATS1	K17991	peroxygenase 1
AT2G19640	ASHR2	K11426	histone-lysine N-methyltransferase ASHR2
AT5G56740	HAG2	K11303	histone acetyltransferase type B catalytic subunit
AT1G54270	EIF4A-2	K03257	eukaryotic initiation factor 4A-2
AT4G02700	SULTR3;2	K17471	sulfate transporter 3.2
AT1G77440	PBC2	K02735	20S proteasome beta subunit C2
AT4G18960	AG	K09264	MADS domain transcription factor AGAMOUS
AT1G55670	PSAG	K08905	photosystem I subunit G
AT1G16890	UBC36	K10580	ubiquitin-conjugating enzyme E2 36
AT5G64300	GCH	K14652	GTP cyclohydrolase-2
AT2G21800	EME1A	K10882	essential meiotic endonuclease 1A
AT5G65800	ACS5	K01762	1-aminocyclopropane-1-carboxylate synthase 5
AT1G31260	ZIP10	K14709	putative zinc transporter 10
AT4G22880	LDOX	K05277	leucoanthocyanidin dioxygenase
AT2G18790	PHYB	K12121	phytochrome B
AT5G37830	OXP1	K01469	5-oxoprolinase
AT1G16470	PAB1	K02726	20S proteasome subunit PAB1
AT4G12610	RAP74	K03138	transcription initiation factor IIF subunit alpha
AT2G24610	CNGC14	K05391	cyclic nucleotide-gated channel 14
AT1G54090	EXO70D2	K07195	exocyst subunit exo70 family protein D2
AT4G23570	SGT1A	K12795	phosphatase SGT1a
AT4G18770	MYB98	K09422	transcription factor MYB98
AT3G21720	ICL	K01637	isocitrate lyase
AT1G06180	MYB13	K09422	myb domain protein 13
AT5G44140	PHB7	K17081	prohibitin 7
AT5G64520	XRCC2	K10879	DNA repair protein XRCC2-like protein
AT3G09740	SYP71	K08506	syntaxin-71
AT3G20630	UBP14	K11836	ubiquitin carboxyl-terminal hydrolase 14
AT2G37170	PIP2B	K09872	aquaporin PIP2-2
AT5G45330	DCP5-L	K18749	decapping 5-like protein
AT5G20320	DCL4	K11592	dicer-like protein 4
AT4G19960	KUP9	K03549	K+ uptake permease 9
AT2G37410	TIM17-2	K17795	mitochondrial import inner membrane translocase subunit Tim17-2
AT1G01370	HTR12	K11253	Histone H3-like centromeric protein HTR12
AT1G51680	4CL1	K01904	4-coumarate--CoA ligase 1
AT4G02520	GSTF2	K00799	glutathione S-transferase F2
AT1G64860	SIGA	K03086	RNA polymerase sigma subunit 1
AT2G36530	LOS2	K01689	bifunctional enolase 2/transcriptional activator
AT1G67990	TSM1	K13067	tapetum-specific methyltransferase 1
AT1G66740	SGA2	K10753	putative histone chaperone ASF1A
AT5G55280	FTSZ1-1	K03531	cell division protein ftsZ-like protein 1
AT5G42600	MRN1	K16207	marneral synthase
AT1G31860	AT-IE	K11755	histidine biosynthesis bifunctional protein hisIE
AT2G46720	KCS13	K15397	3-ketoacyl-CoA synthase 13
AT1G06520	GPAT1	K13508	sn-glycerol-3-phosphate 2-O-acyltransferase
AT1G64040	TOPP3	K06269	serine/threonine-protein phosphatase 3
AT3G59410	GCN2	K16196	eIF2alpha kinase
AT5G65210	TGA1	K14431	transcription factor TGA1
AT1G65310	XTH17	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 17
AT4G27830	BGLU10	K01188	beta glucosidase 10
AT4G28490	HAE	K08286	receptor-like protein kinase 5
AT4G05020	NDB2	K17871	NAD(P)H dehydrogenase B2
AT4G38620	MYB4	K09422	transcription repressor MYB4
AT5G45140	NRPC2	K03021	DNA-directed RNA polymerase RPC2
AT5G21150	AGO9	K11593	argonaute 9
AT1G11000	MLO4	K08472	MLO-like protein 4
AT5G54390	HL	K01082	PAP-specific phosphatase HAL2-like protein
AT4G29510	PRMT11	K11434	arginine methyltransferase 11
AT5G33290	XGD1	K18789	xylogalacturonan beta-1,3-xylosyltransferase
AT5G64630	FAS2	K10751	chromatin assembly factor 1 subunit FAS2
AT5G55260	PPX2	K15423	serine/threonine-protein phosphatase PP-X isozyme 2
AT2G37550	AGD7	K12492	ADP-ribosylation factor GTPase-activating protein AGD7
AT2G24500	FZF	K14816	zinc finger domain protein REI1-LIKE 2
AT4G33240	FAB1A	K00921	1-phosphatidylinositol-3-phosphate 5-kinase FAB1A
AT3G23810	SAHH2	K01251	adenosylhomocysteinase 2
AT1G65660	SMP1	K12819	putative step II splicing factor SMP1
AT1G79460	GA2	K04121	Ent-kaur-16-ene synthase
AT5G58760	DDB2	K10140	protein DAMAGED DNA-BINDING 2
AT1G03000	PEX6	K13339	peroxisome biogenesis protein 6
AT5G28020	CYSD2	K01738	cysteine synthase D2
AT5G60690	REV	K09338	homeobox-leucine zipper protein REVOLUTA
AT5G20900	JAZ12	K13464	protein TIFY 3B
AT3G10660	CPK2	K13412	Ccalcium-dependent protein kinase 2
AT1G51640	EXO70G2	K07195	exocyst subunit exo70 family protein G2
AT1G08250	ADT6	K05359	arogenate dehydratase 6
AT4G14550	IAA14	K14484	auxin-responsive protein IAA14
AT3G61530	PANB2	K00606	ketopentoate hydroxymethyltransferase
AT4G38240	CGL1	K00726	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
AT3G56380	RR17	K14492	two-component response regulator ARR17
AT3G13860	HSP60-3A	K04077	heat shock protein 60-3A
AT5G25480	DNMT2	K15336	DNA methyltransferase-2
AT3G52000	scpl36	K16297	serine carboxypeptidase-like 36
AT5G62670	HA11	K01535	H(+)-ATPase 11
AT3G53060	SK6	K03094	SKP1-like protein 6
AT1G53680	GSTU28	K00799	glutathione S-transferase TAU 28
AT5G65450	UBP17	K11855	ubiquitin-specific protease 17
AT4G13280	TPS12	K15795	terpenoid synthase 12
AT4G05110	ENT6	K15014	equilibrative nucleoside transporter 6
AT5G22980	scpl47	K16298	serine carboxypeptidase-like 47
AT2G38280	FAC1	K01490	AMP deaminase
AT2G05850	scpl38	K16297	serine carboxypeptidase-like 38
AT3G52560	UEV1D-4	K10704	ubiquitin-conjugating enzyme E2 variant 1D
AT2G29100	GLR2.9	K05387	glutamate receptor 2.9
AT1G74740	CPK30	K13412	calcium-dependent protein kinase 30
AT1G77590	LACS9	K01897	long chain acyl-CoA synthetase 9
AT4G24040	TRE1	K01194	trehalase 1
AT1G20340	DRT112	K02638	DNA-damage resistance protein DRT112
AT2G38110	GPAT6	K13508	bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase
AT3G20410	CPK9	K13412	calmodulin-domain protein kinase 9
ArthCt089	trnK	K14229	tRNA-Lys
ArthCt088	trnH	K14226	tRNA-His
AT5G38470	RAD23D	K10839	ubiquitin receptor RAD23d
AT4G04860	DER2.2	K13989	derlin-2.2
AT2G23980	CNGC6	K05391	cyclic nucleotide-gated channel 6
AT1G79590	SYP52	K08503	syntaxin-52
AT5G52600	MYB82	K09422	transcription factor MYB82
AT1G02730	CSLD5	K00770	cellulose synthase-like protein D5
AT1G69880	TH8	K03671	thioredoxin H8
AT5G48070	XTH20	K08235	xyloglucan endotransglucosylase/hydrolase protein 20
AT3G62100	IAA30	K14484	auxin-responsive protein IAA30
AT1G69920	GSTU12	K00799	glutathione S-transferase TAU 12
AT5G08380	AGAL1	K07407	alpha-galactosidase 1
AT5G53130	CNGC1	K05391	cyclic nucleotide-gated ion channel 1
AT4G33250	EIF3K	K15028	translation initiation factor 3 subunit K
AT4G04640	ATPC1	K02115	ATP synthase gamma chain 1
AT3G44530	HIRA	K11293	protein HIRA
AT2G29690	ASA2	K01657	anthranilate synthase component I-2
AT3G21510	AHP1	K14490	histidine-containing phosphotransmitter 1
AT1G68210	APRR6	K14491	pseudo-response regulator 6
AT5G43935	FLS6	K05278	flavonol synthase 6
AT5G04590	SIR	K00392	sulfite reductase
AT3G27820	MDAR4	K08232	monodehydroascorbate reductase (NADH)
AT1G24190	SNL3	K11644	paired amphipathic helix protein Sin3-like 3
AT2G42010	PLDBETA1	K01115	phospholipase D beta 1
AT4G04885	PCFS4	K14400	PCF11P-similar protein 4
AT4G35490	MRPL11	K02867	mitochondrial ribosomal protein L11
AT2G14960	GH3.1	K14487	putative indole-3-acetic acid-amido synthetase GH3.1
AT3G21220	MKK5	K13413	mitogen-activated protein kinase kinase 5
AT1G62830	LDL1	K11450	Lysine-specific histone demethylase 1-1
AT1G08810	MYB60	K09422	putative transcription factor MYB60
AT2G17520	IRE1A	K08852	serine/threonine-protein kinase/endoribonuclease IRE1a
AT3G21070	NADK1	K00858	NAD(H) kinase 1
AT2G39880	MYB25	K09422	myb domain protein 25
AT1G79040	PSBR	K03541	photosystem II subunit R
AT4G30440	GAE1	K08679	UDP-D-glucuronate 4-epimerase 1
AT5G15450	CLPB3	K03695	chaperone protein ClpB3
AT5G15100	PIN8	K13947	auxin transporter PIN8
AT5G16630	RAD4	K10838	DNA repair protein Rad4
AT1G79280	NUA	K09291	nuclear pore anchor
AT5G03240	UBQ3	K08770	polyubiquitin 3
AT1G73990	SPPA	K04773	signal peptide peptidase
AT3G12220	scpl16	K16296	serine carboxypeptidase-like 16
AT1G04020	BARD1	K10683	BRCT-associated RING-finger domain-containing protein
AT2G07690	MCM5	K02209	minichromosome maintenance protein 5
AT5G49460	ACLB-2	K01648	ATP citrate lyase subunit B 2
AT1G15950	CCR1	K09753	cinnamoyl coa reductase 1
AT5G17050	UGT78D2	K10757	anthocyanidin 3-O-glucosyltransferase
AT2G29960	CYP5	K01802	peptidyl-prolyl cis-trans isomerase CYP19-4
AT4G34520	KCS18	K15397	3-ketoacyl-CoA synthase 18
AT4G19560	CYCT1;2	K15188	Cyclin-T1-2
AT1G16780	VHP2;2	K01507	type II H+-Ppase VHP2;2
ArthCt125	trnS	K14233	tRNA-Ser
AT4G20440	smB	K11086	small nuclear ribonucleoprotein associated protein B
AT3G55620	emb1624	K03264	eukaryotic translation initiation factor 6A
AT2G27030	CAM5	K02183	calmodulin 5
AT5G09650	PPa6	K01507	soluble inorganic pyrophosphatase 1
AT1G75780	TUB1	K07375	tubulin beta-1 chain
AT1G29410	PAI3	K01817	phosphoribosylanthranilate isomerase 3
AT3G59380	FTA	K05955	farnesyltransferase A
AT1G20960	emb1507	K12854	putative U5 small nuclear ribonucleoprotein helicase
AT3G61250	MYB17	K09422	LATE MERISTEM IDENTITY2
AT3G27730	RCK	K15271	DNA helicase
AT1G18710	MYB47	K09422	myb domain protein 47
AT5G48570	ROF2	K01802	peptidyl-prolyl cis-trans isomerase FKBP65
AT1G52150	ATHB-15	K09338	homeobox-leucine zipper protein ATHB-15
AT3G24890	VAMP728	K08511	vesicle-associated membrane protein
AT1G04220	KCS2	K15397	3-ketoacyl-CoA synthase 2
AT3G53710	AGD6	K12492	putative ADP-ribosylation factor GTPase-activating protein AGD6
AT1G72970	HTH	K15403	embryo sac development arrest 17
AT5G14670	ARFA1B	K07937	ADP-ribosylation factor A1B
AT5G11300	CYC3B	K06627	cyclin-A2-2
AT1G73190	TIP3;1	K09873	aquaporin TIP3-1
AT2G22830	SQE2	K00511	squalene epoxidase 2
AT4G01100	ADNT1	K14684	adenine nucleotide transporter 1
